index,title,q,a
1,"언젠가', '언젠가는'의 표현","""저는 언젠가 간호사가 되고 싶어요.""와 같이 쓸 때, 미래의 불특정한 때를 나타내는 '언젠가'라는 단어를 '언젠가는'이라고 써도 되나요? '언젠가'가 표준어인 것 같은데, 뒤에 '는'을 쓴 '언젠가는'이 더 많이 쓰이는 것 같아요.","?'미래의 어느 때에 가서는'을 뜻하는 부사 '언젠가'를 강조하기 위하여, '강조'의 뜻을 나타내는 보조사 '는'을 붙여 '언젠가는'과 같이 쓸 수 있습니다."
2,"가오', '가요'의 표기","""이쪽으로 {가오/가요}.""에 쓰인 '오'와 '요'의 차이가 무엇인가요? ""이쪽으로 가오.""와 ""이쪽으로 가요.""를 모두 쓸 수 있나요?","?""이쪽으로 가오.""와 ""이쪽으로 가요.""를 모두 쓸 수 있습니다. ""이쪽으로 가오.""의 '-오'는 하오할 자리에 쓰여, 명령의 뜻을 나타내는 종결 어미입니다. ""이쪽으로 가요.""의 '가요'는 '가-+-아+요'로 분석되는데 '-아'는 종결 어미이고 '요'는 청자에게 존대의 뜻을 나타내는 보조사입니다."
3,'한낱 ~ 따위가'의 표현,‘한낱’이라는 단어가 ‘~ 따위가’라는 말과 함께 쓰이는 말이 맞는지요?,"?'한낱 ~ 따위가'와 같이 쓸 수 있습니다. '기껏해야 대단한 것 없이 다만'을 뜻하는 '한낱'은, 앞에 나온 대상을 낮잡거나 부정적으로 이르는 말인 '따위'와 호응하여 쓰일 수 있습니다."
4,'화를 돋구다'의 표현,'화를 돋구다'라는 표현이 맞나요?,"'화를 돋구다'의 '돋구다'는 '돋우다'의 비표준어이므로 '화를 돋우다'가 바른 표현입니다. ""감정이나 기색 따위를 생겨나게 하다.""라는 뜻을 나타내는 말은 '돋다'의 사동사 '돋우다'이며, 같은 뜻으로 쓰이는 '돋우다'는 '돋구다'의 비표준어입니다.?참고로, '돋구다'가 '안경의 도수 따위를 더 높게 하다'를 뜻하는 말로 ""시력이 더 나빠져 안경 도수를 돋구었다.""처럼 쓰일 때에는 표준어입니다."
5,'늘다'의 활용,“몸무게가 는 것 같아.”라는 문장에서 '는 것'은 '늘은 것'의 준말인가요? 준말이라면 “몸무게가 는 것 같아.”라는 문장도 맞춤법에 맞는 표현인지요?,"?""몸무게가 는 것 같아.""와 같이 '는'을 쓰는 것이 맞춤법에 맞습니다. 어미 '-은'은 'ㄹ'을 제외한 받침 있는 동사 어간 뒤에 붙고, 'ㄹ' 받침인 동사 어간 뒤에는 어미 '-ㄴ'이 붙는데, '늘다'는 동사 어간의 받침이 'ㄹ'이므로, 어간 '늘-' 뒤에 어미 '-ㄴ'이 붙습니다. 그리고 어간 끝 받침 'ㄹ'이 어미의 첫소리 'ㄴ' 앞에서 줄어지는 경우, 준 대로 적으므로, '늘-' 뒤에 '-ㄴ'이 붙으면, '는'의 형태로 쓰이게 됩니다."
6,"'너같이 예쁜 사람', '너 같은 예쁜 사람'의 표현","'같은'은 뒤에 명사가 오고(꽃 같은 얼굴), '같이' 뒤에는 용언이 오는 것(눈같이 하얗다)으로 알고 있는데, “{너같이/너 같은} 예쁜 사람은 처음 봤어.”는 모두 자연스러운 건 왜일까요?","?아시는 대로, 조사 '같이'가 붙은 단위는 문장에서 부사어가 되고, 형용사 '같다'의 관형사형 '같은'이 이끄는 단위는 문장에서 관형어가 됩니다. 다만 ""너같이 예쁜 사람은 처음 봤어.""라는 문장은 부사어인 '너같이'가 용언인 '예쁜'을 꾸미는 짜임이고, ""너 같은 예쁜 사람은 처음 봤어.""라는 문장은 관형어인 '너 같은'이 체언인 '사람'을 꾸미는 짜임이라 둘 다 맞는 것입니다."
7,"'짚이다', '짚히다'의 표기","""뭔가 {짚이는/짚히는} 것이 있어?""에서 '짚이다'와 '짚히다' 중 어느 것이 바른 표기인가요?","?""뭔가 짚이는 것이 있어?""가 바른 표기입니다. ""헤아려 본 결과 어떠할 것으로 짐작이 가다.""라는 뜻을 나타내는 말은 '짚이다'입니다."
8,"'의산데', '학굔데'의 표현","‘학굔데', '의산데’ 등은 ‘받침 없는 명사+-ㄴ데’로 쓰이고 있는데, 이것이 맞는 표현인가요?","?'학굔데', '의산데' 등은 쓸 수 있는 표현입니다. 명사 '학교', '의사' 뒤에 서술격 조사 '이-'가 붙고, 그 뒤에 어미 '-ㄴ데'가 붙으므로, '학교인데', '의사인데'가 본디의 형태입니다만, '학교', '의사'와 같이 받침 없는 명사 뒤에서는 '이-'가 줄어 '학굔데', '의산데'로 쓰기도 합니다."
9,'신임받다'의 띄어쓰기,'사람들에게 신임받다'에서 ‘신임받다’의 띄어쓰기가 맞는지요?,"?'사람들에게 신임받다'와 같이 붙여 쓰는 것이 맞습니다. '신임'이라는 명사 뒤에, '피동'의 뜻을 더하고 동사를 만드는 접미사 '-받다'를 붙여, '신임받다'와 같은 동사를 만들어 쓸 수 있습니다.?한편, 동사 '받다'를 쓴다면, '사람들에게 신임을 받다'처럼 동사 '받다'가 요구하는 목적어를 갖추어 쓸 수 있습니다."
10,'호도하다'와 '오도하다'의 차이,"'호도하다'와 '오도하다'가 자주 헷갈리는데, 어떻게 다른가요?","?'호도하다(糊塗--)'는 ""명확하게 결말을 내지 않고 일시적으로 감추거나 흐지부지 덮어 버리다""의 뜻으로 ""사건의 본질을 호도했다.""와 같이 쓰입니다. 한편, '오도하다(誤導--)'는 ""그릇된 길로 이끌다""의 뜻으로 ""진실을 오도하지 마라.""와 같이 쓰입니다."
